# Directed graph (each unordered pair of nodes is saved once): 100nodes_graphs.txt
# Another example
# Nodes: 49   Edges: 125
# FromNodeId    ToNodeId
0 9
0 14
0 45
1 19
2 1
2 45
2 95
3 34
3 82
3 92
4 60
5 16
5 20
5 63
5 74
6 14
6 57
6 68
7 94
8 5
8 61
9 23
9 62
9 67
10 51
10 93
10 95
11 56
12 2
12 17
12 29
12 34
12 52
12 92
12 95
13 14
13 32
14 60
15 47
15 57
15 93
16 24
17 5
17 29
17 50
17 53
17 59
18 9
18 15
18 22
18 28
18 34
18 66
19 25
19 74
20 14
20 20
20 24
20 44
20 64
21 24
22 11
22 55
23 81
24 1
24 13
24 29
24 93
25 43
25 50
25 54
25 91
25 93
26 64
27 71
28 59
28 84
29 13
29 33
30 4
30 28
30 93
31 36
31 76
31 93
32 46
32 82
33 38
33 80
34 5
34 11
35 18
35 99
36 7
37 23
38 34
38 57
38 84
40 14
40 18
40 47
40 80
40 82
40 84
41 44
41 64
41 85
41 95
42 24
42 67
44 46
44 99
45 4
45 25
45 33
45 80
45 99
46 3
46 30
47 68
47 81
48 18
48 21
48 34
48 49
